AdditionBudget,RemovalBudget,PerturbationStrategy,PerturbedTestFScores,TruePositive,FalseNegative,FalsePositive,DistanceMetric,DegreeMetric,PerturbedHomophily
0.5,0.0,add,"[0.30681822, 0.43731782, 0.5646401, 0.45161292, 0.6897638, 0.61728394, 0.5112394690513611]","[27, 75, 404, 98, 219, 125]","[74, 176, 18, 223, 151, 122]","[48, 17, 605, 15, 46, 33]",9.179769597713358,3.4949006977992485,0.526112510495382
0.5,0.0,add,"[0.2259887, 0.46239552, 0.56237084, 0.41981134, 0.6829268, 0.58793974, 0.49023881554603577]","[20, 83, 408, 89, 210, 117]","[81, 168, 14, 232, 160, 130]","[56, 25, 621, 14, 35, 34]",9.305384518820372,3.532292787944026,0.5269521410579345
0.5,0.0,add,"[0.25414366, 0.49582174, 0.58992803, 0.4988864, 0.7082684, 0.6039604, 0.5251680612564087]","[23, 89, 410, 112, 227, 122]","[78, 162, 12, 209, 143, 125]","[57, 19, 558, 16, 44, 35]",9.306480040170726,3.4502673796791443,0.5279596977329974
0.5,0.0,add,"[0.28402367, 0.44886363, 0.5724185, 0.44651166, 0.69662917, 0.6093366, 0.509630560874939]","[24, 79, 413, 96, 217, 124]","[77, 172, 9, 225, 153, 123]","[44, 22, 608, 13, 36, 36]",9.350619169933758,3.4090666666666665,0.5246011754827876
0.5,0.0,add,"[0.2903226, 0.40816328, 0.56827587, 0.43026006, 0.6904376, 0.61728394, 0.5007905960083008]","[27, 70, 412, 91, 213, 125]","[74, 181, 10, 230, 157, 122]","[58, 22, 616, 11, 34, 33]",9.343376948183627,3.437033084311633,0.5200671704450042
0.5,0.0,add,"[0.2808989, 0.452514, 0.5850534, 0.4653244, 0.68044513, 0.63882065, 0.51717609167099]","[25, 81, 411, 104, 214, 130]","[76, 170, 11, 217, 156, 117]","[52, 26, 572, 22, 45, 30]",9.28280248749493,3.462614308768155,0.527455919395466
0.5,0.0,add,"[0.26086956, 0.42979947, 0.5734364, 0.47085202, 0.6534654, 0.6057692, 0.49903202056884766]","[24, 75, 408, 105, 198, 126]","[77, 176, 14, 216, 172, 121]","[59, 23, 593, 20, 38, 43]",9.243538693292647,3.507230851633637,0.5246011754827876
0.5,0.0,add,"[0.21965319, 0.48066297, 0.57222605, 0.44036698, 0.69677424, 0.625, 0.5057805776596069]","[19, 87, 410, 96, 216, 125]","[82, 164, 12, 225, 154, 122]","[53, 24, 601, 19, 34, 28]",9.294113250545587,3.4919700214132763,0.5242653232577665
0.5,0.0,add,"[0.2888889, 0.45378155, 0.5680056, 0.4899777, 0.67736757, 0.5909091, 0.5114883780479431]","[26, 81, 403, 110, 211, 117]","[75, 170, 19, 211, 159, 130]","[53, 25, 594, 18, 42, 32]",9.274262538867108,3.4335664335664338,0.5264483627204031
0.5,0.0,add,"[0.25555557, 0.42613637, 0.5732575, 0.4668192, 0.7044025, 0.6150121, 0.5068638920783997]","[23, 75, 403, 102, 224, 127]","[78, 176, 19, 219, 146, 120]","[56, 26, 581, 14, 42, 39]",9.319423704590664,3.459227467811159,0.5286314021830395
0.5,0.0,add,"[0.27428573, 0.46197185, 0.57522744, 0.4604966, 0.68921095, 0.61845386, 0.5132744312286377]","[24, 82, 411, 102, 214, 124]","[77, 169, 11, 219, 156, 123]","[50, 22, 596, 20, 37, 30]",9.259899380057552,3.4951923076923075,0.5264483627204031
0.5,0.0,add,"[0.22346368, 0.5083799, 0.57023644, 0.39814815, 0.6612642, 0.605, 0.49441537261009216]","[20, 91, 410, 86, 204, 121]","[81, 160, 12, 235, 166, 126]","[58, 16, 606, 25, 43, 32]",9.348959906525812,3.436046511627907,0.5237615449202351
0.5,0.0,add,"[0.24581006, 0.480226, 0.5702247, 0.4382284, 0.6709265, 0.6213592, 0.504462480545044]","[22, 85, 406, 94, 210, 128]","[79, 166, 16, 227, 160, 119]","[56, 18, 596, 14, 46, 37]",9.403095656540296,3.4449108079748165,0.5232577665827036
0.5,0.1,addremove,"[0.20987655, 0.45303866, 0.56530756, 0.41860467, 0.6827698, 0.59203976, 0.48693951964378357]","[17, 82, 409, 90, 212, 119]","[84, 169, 13, 231, 158, 128]","[44, 29, 616, 19, 39, 36]",9.151832667389707,3.5179303278688523,0.5091834879068922
0.5,0.1,addremove,"[0.29999998, 0.4431818, 0.5682606, 0.4195804, 0.68370605, 0.5786802, 0.49890151619911194]","[27, 78, 410, 90, 214, 114]","[74, 173, 12, 231, 156, 133]","[52, 23, 611, 18, 42, 33]",9.161453511094622,3.5439223697650664,0.5159119839970904
0.5,0.1,addremove,"[0.26285714, 0.42577034, 0.5469278, 0.36450842, 0.65905386, 0.5721785, 0.471882700920105]","[23, 76, 405, 76, 202, 109]","[78, 175, 17, 245, 168, 138]","[51, 30, 654, 20, 41, 25]",9.172014029581728,3.523640061006609,0.5075468266957629
0.5,0.1,addremove,"[0.20454545, 0.460274, 0.56786704, 0.46846843, 0.66556287, 0.5524296, 0.4865245521068573]","[18, 84, 410, 104, 201, 108]","[83, 167, 12, 217, 169, 139]","[57, 30, 612, 19, 33, 36]",9.126739289637495,3.5297131147540983,0.508274231678487
0.5,0.1,addremove,"[0.26519337, 0.45325783, 0.55275697, 0.43294123, 0.6611842, 0.5103093, 0.47927379608154297]","[24, 80, 406, 92, 201, 99]","[77, 171, 16, 229, 169, 148]","[56, 22, 641, 12, 37, 42]",9.224660947754028,3.514271151885831,0.5106382978723404
0.5,0.1,addremove,"[0.29213482, 0.407932, 0.5686411, 0.48181814, 0.6699347, 0.58620685, 0.5011113286018372]","[26, 72, 408, 106, 205, 119]","[75, 179, 14, 215, 165, 128]","[51, 30, 605, 13, 37, 40]",9.11365729038055,3.5552131484334875,0.5051827605019095
0.5,0.1,addremove,"[0.27118644, 0.45, 0.5690376, 0.4899777, 0.67333335, 0.61386144, 0.5112327337265015]","[24, 81, 408, 110, 202, 124]","[77, 170, 14, 211, 168, 123]","[52, 28, 604, 18, 28, 33]",9.174631340827858,3.539090444557997,0.5140934715402801
0.5,0.1,addremove,"[0.27624312, 0.46197185, 0.5587828, 0.45205477, 0.6677578, 0.5801527, 0.49949386715888977]","[25, 82, 404, 99, 204, 114]","[76, 169, 18, 222, 166, 133]","[55, 22, 620, 18, 37, 32]",9.237223586038075,3.5185561769191662,0.5142753227859611
0.5,0.1,addremove,"[0.3296703, 0.48753464, 0.552381, 0.42755345, 0.6423841, 0.523316, 0.4938065707683563]","[30, 88, 406, 90, 194, 101]","[71, 163, 16, 231, 176, 146]","[51, 22, 642, 10, 40, 38]",9.056239019703819,3.5769428718476584,0.5124568103291508
0.5,0.1,addremove,"[0.26666665, 0.4463277, 0.5670605, 0.42727274, 0.6558966, 0.5700246, 0.48887479305267334]","[22, 79, 408, 94, 203, 116]","[79, 172, 14, 227, 167, 131]","[42, 24, 609, 25, 46, 44]",9.18728424739971,3.521694742215416,0.5091834879068922
0.5,0.1,addremove,"[0.29714286, 0.45938376, 0.5652477, 0.45205477, 0.64157116, 0.5804878, 0.49931466579437256]","[26, 82, 405, 99, 196, 119]","[75, 169, 17, 222, 174, 128]","[48, 24, 606, 18, 45, 44]",9.131571424129337,3.525242223355431,0.5037279505364611
0.5,0.1,addremove,"[0.25433528, 0.39766082, 0.55977887, 0.4102564, 0.688, 0.60294116, 0.4854954183101654]","[22, 68, 405, 88, 215, 123]","[79, 183, 17, 233, 155, 124]","[50, 23, 620, 20, 40, 38]",9.215306083881556,3.5364982133741707,0.5053646117475905
0.5,0.1,addremove,"[0.25882354, 0.40455842, 0.5670605, 0.5032823, 0.63815784, 0.5764411, 0.491387277841568]","[22, 71, 408, 115, 194, 115]","[79, 180, 14, 206, 176, 132]","[47, 29, 609, 21, 44, 37]",9.200648376939997,3.533502538071066,0.5140934715402801
0.5,0.1,addremove,"[0.2722513, 0.42979947, 0.5562372, 0.45057467, 0.6798679, 0.54787236, 0.48943379521369934]","[26, 75, 408, 98, 206, 103]","[75, 176, 14, 223, 164, 144]","[64, 23, 637, 16, 30, 26]",9.17925351945801,3.5533333333333332,0.5140934715402801
0.5,0.1,addremove,"[0.2681564, 0.452514, 0.56924146, 0.45558083, 0.69453377, 0.54498714, 0.49750223755836487]","[24, 81, 409, 100, 216, 106]","[77, 170, 13, 221, 154, 141]","[54, 26, 606, 18, 36, 36]",9.175653979337072,3.5137895812053115,0.5099108928896163
0.5,0.1,addremove,"[0.26436782, 0.4277778, 0.5692521, 0.44243792, 0.64451826, 0.58354115, 0.4886491596698761]","[23, 77, 411, 98, 194, 117]","[78, 174, 11, 223, 176, 130]","[50, 32, 611, 24, 38, 37]",9.069476559195357,3.5258841619682215,0.5091834879068922
0.5,0.1,addremove,"[0.26285714, 0.42105266, 0.5562372, 0.41314557, 0.6483871, 0.5228426, 0.4707536995410919]","[23, 72, 408, 88, 201, 103]","[78, 179, 14, 233, 169, 144]","[51, 19, 637, 17, 49, 44]",9.166965170781971,3.5443756449948403,0.5119112565921077
0.5,0.1,addremove,"[0.29239768, 0.4, 0.5554054, 0.44186047, 0.66227347, 0.54404145, 0.48266303539276123]","[25, 70, 411, 95, 201, 105]","[76, 181, 11, 226, 169, 142]","[45, 29, 647, 14, 36, 34]",9.186757983951948,3.555895865237366,0.5060920167303146
0.5,0.1,addremove,"[0.22857141, 0.44699138, 0.5665295, 0.47058818, 0.6962233, 0.55754477, 0.49440810084342957]","[20, 78, 413, 104, 212, 109]","[81, 173, 9, 217, 158, 138]","[54, 20, 623, 17, 27, 35]",9.09702172282556,3.536485097636177,0.5075468266957629
