AdditionBudget,RemovalBudget,PerturbationStrategy,PerturbedTestFScores,TruePositive,FalseNegative,FalsePositive,DistanceMetric,DegreeMetric,PerturbedHomophily
0.0,0.1,remove,"[0.32999998, 0.5971564, 0.7386692, 0.7071823, 0.82833785, 0.7336066, 0.6558253765106201]","[33, 126, 383, 192, 304, 179]","[68, 125, 39, 129, 66, 68]","[66, 45, 232, 30, 60, 62]",8.27554704067862,5.076487252124646,0.7393732547316165
0.0,0.1,remove,"[0.3857868, 0.59574467, 0.7432433, 0.7121771, 0.81953865, 0.7402863, 0.6661294102668762]","[38, 126, 385, 193, 302, 181]","[63, 125, 37, 128, 68, 66]","[58, 46, 229, 28, 65, 61]",8.421534605745132,5.0028129395218,0.7390629847967732
0.0,0.1,remove,"[0.37254906, 0.6004728, 0.7403101, 0.7074075, 0.8256131, 0.7413442, 0.6646161079406738]","[38, 127, 382, 191, 303, 182]","[63, 124, 40, 130, 67, 65]","[65, 45, 228, 28, 61, 62]",8.28595768266821,5.058743169398907,0.7340986658392802
0.0,0.1,remove,"[0.34871793, 0.59673655, 0.74124515, 0.7142858, 0.82591087, 0.742268, 0.6615273952484131]","[34, 128, 381, 195, 306, 180]","[67, 123, 41, 126, 64, 67]","[60, 50, 225, 30, 65, 58]",8.360663678426837,4.984764542936288,0.7384424449270865
0.0,0.1,remove,"[0.34343433, 0.6047619, 0.7395934, 0.7236364, 0.8265583, 0.7298969, 0.6613135933876038]","[34, 127, 382, 199, 305, 177]","[67, 124, 40, 122, 65, 70]","[63, 42, 229, 30, 63, 61]",8.358424908424908,5.168539325842697,0.7396835246664598
0.0,0.1,remove,"[0.36999997, 0.60992914, 0.743738, 0.70825696, 0.8378378, 0.74895394, 0.6697859764099121]","[37, 129, 386, 193, 310, 179]","[64, 122, 36, 128, 60, 68]","[62, 43, 230, 31, 60, 52]",8.08191632928475,5.068493150684931,0.7409246044058331
0.0,0.1,remove,"[0.33999997, 0.5934579, 0.7432433, 0.70848703, 0.8315217, 0.7344398, 0.6585249304771423]","[34, 127, 385, 192, 306, 177]","[67, 124, 37, 129, 64, 70]","[65, 50, 229, 29, 60, 58]",8.294430788509736,5.093184979137691,0.7347192057089668
0.0,0.1,remove,"[0.35897437, 0.59574467, 0.7407407, 0.71869326, 0.8216216, 0.7361963, 0.6619951725006104]","[35, 126, 380, 198, 304, 180]","[66, 125, 42, 123, 66, 67]","[59, 46, 224, 32, 66, 62]",8.41205417389628,5.002785515320334,0.7412348743406764
0.0,0.1,remove,"[0.35532996, 0.60992914, 0.7439143, 0.71143377, 0.81632656, 0.7413442, 0.6630463600158691]","[35, 129, 382, 196, 300, 182]","[66, 122, 40, 125, 70, 65]","[61, 43, 223, 34, 65, 62]",8.250513302486986,4.973793103448276,0.7399937946013031
0.0,0.1,remove,"[0.3448276, 0.60096157, 0.7405979, 0.71167886, 0.8265583, 0.74273854, 0.6612271666526794]","[35, 125, 384, 195, 305, 179]","[66, 126, 38, 126, 65, 68]","[67, 40, 231, 32, 63, 56]",8.49501879699248,4.884196185286103,0.7340986658392802
0.0,0.1,remove,"[0.3592233, 0.6093023, 0.73908836, 0.7111111, 0.82578874, 0.73770493, 0.6637031435966492]","[37, 131, 381, 192, 301, 180]","[64, 120, 41, 129, 69, 67]","[68, 48, 228, 27, 58, 61]",8.229270291112396,4.9302649930264995,0.7387527148619298
